Date,Class,Addr Cnt,TELCORE,BBCORE,VCORE,SCORE,TelOnly,Tel+BB,CBOL,IP CORE,FIBER,DSL,BB Goal,BB Rem,BB %
2026-03-31,17-HNRY,1523.0,95,1015,37,3.0,18,77,938,13,1015,0,1015.0,,66.64
2026-03-31,18-SMRT,1606.0,54,834,33,0.0,7,47,787,1,834,0,827.0,-7.0,51.93
2026-03-31,19-GRCO,4385.0,243,2630,135,43.0,96,147,2483,243,2630,0,2631.0,1.0,59.98
2026-03-31,20-PALM,953.0,194,661,33,1.0,16,178,483,8,661,0,667.0,6.0,69.36
2026-03-31,21-ILL,174.0,1,43,3,0.0,0,1,42,1,43,0,40.0,-3.0,24.71
2026-03-31,22-ILL,459.0,6,133,9,0.0,2,4,129,6,133,0,141.0,8.0,28.98
2026-03-31,23-PILL,739.0,7,48,5,0.0,4,3,45,0,48,0,62.0,14.0,6.5
2026-03-31,24-CALL,648.0,16,363,26,1.0,7,9,354,16,363,0,359.0,-4.0,56.02
2026-03-31,26-MRSH,192.0,1,90,3,0.0,0,1,89,1,90,0,92.0,2.0,46.88
2026-03-31,27-WEAK,1284.0,57,370,37,1.0,11,46,324,11,370,0,335.0,-35.0,28.82
2026-03-31,28-CARL,312.0,25,126,9,2.0,13,12,114,25,126,0,128.0,2.0,40.38
2026-03-31,33-BENT,450.0,16,97,9,0.0,0,16,81,0,97,0,108.0,11.0,21.56
2026-03-31,98-TNNG,6.0,0,5,0,0.0,0,0,5,0,5,0,5.0,,83.33
2026-03-31,99-KYNG,30.0,1,36,1,3.0,0,1,35,1,36,0,36.0,,120.0
2026-03-31,25-IRDOF,163.0,0,28,2,0.0,0,0,28,0,28,0,17.0,-11.0,17.18
2026-03-31,Others,120.0,1,15,1,0.0,0,1,14,1,15,0,6.0,-9.0,12.5
2026-03-31,31-ARD-AL,11198.0,1585,5271,0,60.0,489,1096,4175,10,5025,246,,,47.07
2026-03-31,31-ARD-TN,4203.0,965,1978,0,15.0,279,686,1292,20,1742,236,,,47.06
2026-03-31,35-GILES,615.0,4,70,0,0.0,0,4,66,4,70,0,,,11.38
2026-03-31,96-ALNG,,0,1,0,,0,0,1,0,1,0,,,0.0
2026-03-31,Others,,1,24,0,,0,1,23,1,24,0,,,0.0
